freq,indic_ur,cities\TIME_PERIOD	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DE1001V,AT	: 	: 	7795786 	7867796 	7962003 	8015027 	8039865 	8054802 	8067812 	8075425 	7992323 	8011566 	8032875 	8083797 	: 	8140122 	8201359 	8254298 	8282984 	8318592 	8355260 	: 	: 	: 	8451860 	8507786 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT001C	: 	: 	1539848 	: 	: 	: 	: 	1595402 	1609631 p	1606843 p	1608144 p	1615438 p	1550123 	: 	: 	1598626 	1632569 	1652449 	1661246 	1674909 	1687271 	: 	: 	: 	1741246 	1766746 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT002C	: 	: 	237810 	: 	: 	: 	: 	: 	: 	: 	: 	: 	226244 	: 	: 	235477 	241298 	244997 	247624 	250738 	253994 	: 	: 	: 	265778 	269997 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT003C	: 	: 	203044 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183504 	: 	: 	185530 	186781 	187936 	188393 	188593 	189122 	: 	: 	: 	191501 	193814 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT004C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142662 	: 	: 	145680 	145124 	146484 	146845 	147169 	147732 	: 	: 	: 	145871 	146631 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT005C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	113392 	: 	: 	114561 	114438 	115643 	116370 	117150 	118035 	: 	: 	: 	122458 	124579 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,AT006C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95450 	96640 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,BE	: 	: 	9986975 	10021997 	10068319 	10100631 	10130574 	10143047 	10170226 	10192264 	10213752 	10239085 	10263414 	10309725 	10355844 	10396421 	10445852 	10511382 	10584534 	10666866 	10753080 	10839905 	11000638 	11094850 	11161642 	11203992 	11258434 	11307192 	11351727 	11398589 	11455519 	11522440 	11554767 	11617623 	11742796 	11817096 
A,DE1001V,BE001C	: 	964385 	954045 	951217 	950339 	949070 	951580 	948122 	950597 	953175 	954460 	964405 	964405 	978384 	992041 	999899 	1006749 	1018804 	1031215 	1048491 	1068532 	1089538 	1136778 	1159448 	1174624 	1183841 	1196831 	1201129 	1199095 	1205492 	1215289 	1223364 	1226329 	1228655 	1253178 	1264371 
A,DE1001V,BE002C	: 	470349 	467518 	465783 	465102 	462880 	459072 	455852 	453030 	449745 	447632 	446525 	445570 	448709 	452474 	455148 	457749 	461496 	466203 	472071 	477936 	483505 	498473 	507368 	512230 	513915 	515593 	517731 	520859 	523591 	526439 	530014 	530627 	532255 	541122 	547794 
A,DE1001V,BE003C	: 	230543 	230246 	230232 	229821 	228490 	227483 	226464 	225469 	224545 	224074 	224180 	224685 	226220 	228016 	229344 	230951 	233120 	235143 	237250 	240049 	243366 	248358 	249205 	249754 	251984 	253914 	257226 	259462 	260329 	262205 	263687 	264019 	265234 	268335 	270133 
A,DE1001V,BE004C	: 	206779 	206214 	206903 	207045 	206898 	206491 	205591 	204899 	203853 	202020 	200827 	200233 	200578 	200460 	200608 	201373 	201300 	201550 	201593 	202234 	202598 	204150 	204762 	204826 	203640 	203228 	202602 	201884 	202341 	202637 	203314 	238412 	238840 	240402 	241219 
A,DE1001V,BE005C	: 	196825 	: 	196303 	196632 	195389 	192393 	: 	189510 	188568 	187538 	: 	359314 	360068 	359193 	360361 	360765 	362932 	365741 	367612 	369487 	371880 	377263 	379978 	382009 	382637 	382852 	382488 	383725 	383710 	383482 	383700 	405980 	406563 	408069 	410032 
A,DE1001V,BE006C	: 	117460 	117063 	116717 	116871 	116724 	116273 	115815 	115500 	115573 	115991 	116246 	116559 	116836 	116811 	117025 	117327 	117224 	116982 	117073 	116969 	116741 	117260 	117617 	118145 	117886 	118335 	118219 	118393 	118526 	118569 	118916 	118802 	118731 	119761 	120142 
A,DE1001V,BE007C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	105393 	105705 	106213 	106767 	107178 	107653 	107939 	108514 	108950 	110175 	110753 	111224 	111348 	111312 	110738 	111111 	111334 	111239 	112125 	112373 	113636 	114733 	115607 
A,DE1001V,BE008C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95463 	97270 	98056 	98119 	98591 	98531 	99365 	99640 	100524 	101132 	101625 	100772 	101612 	102477 	103358 
A,DE1001V,BE009C	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91759 	92721 	93398 	94316 	95357 	95469 	95046 	95332 	95369 	95679 	95922 	157333 	157932 	158099 	157957 
